bookID,title,authors,average_rating,language_code,num_pages,publication_date,publisher;;;
1,Harry_Potter_and_the_Half-Blood_Prince_(Harry_Potter__#6),J.K._Rowling/Mary_GrandPré,4.57,eng,652.0,9/16/2006,Scholastic_Inc.;;;
2,Harry_Potter_and_the_Order_of_the_Phoenix_(Harry_Potter__#5),J.K._Rowling/Mary_GrandPré,4.49,eng,870.0,9/1/2004,Scholastic_Inc.;;;
4,Harry_Potter_and_the_Chamber_of_Secrets_(Harry_Potter__#2),J.K._Rowling,4.42,eng,352.0,11/1/2003,Scholastic;;;
5,Harry_Potter_and_the_Prisoner_of_Azkaban_(Harry_Potter__#3),J.K._Rowling/Mary_GrandPré,4.56,eng,435.0,5/1/2004,Scholastic_Inc.;;;
8,Harry_Potter_Boxed_Set__Books_1-5_(Harry_Potter__#1-5),J.K._Rowling/Mary_GrandPré,4.78,eng,2690.0,9/13/2004,Scholastic;;;
10,Harry_Potter_Collection_(Harry_Potter__#1-6),J.K._Rowling,4.73,eng,3342.0,9/12/2005,Scholastic;;;
12,The_Ultimate_Hitchhiker's_Guide:_Five_Complete_Novels_and_One_Story_(Hitchhiker's_Guide_to_the_Galaxy__#1-5),Douglas_Adams,4.38,eng,815.0,11/1/2005,Gramercy_Books;;;
13,The_Ultimate_Hitchhiker's_Guide_to_the_Galaxy_(Hitchhiker's_Guide_to_the_Galaxy__#1-5),Douglas_Adams,4.38,eng,815.0,4/30/2002,Del_Rey_Books;;;
14,The_Hitchhiker's_Guide_to_the_Galaxy_(Hitchhiker's_Guide_to_the_Galaxy__#1),Douglas_Adams,4.22,eng,215.0,8/3/2004,Crown;;;
16,The_Hitchhiker's_Guide_to_the_Galaxy_(Hitchhiker's_Guide_to_the_Galaxy__#1),Douglas_Adams/Stephen_Fry,4.22,eng,6.0,3/23/2005,Random_House_Audio;;;
18,The_Ultimate_Hitchhiker's_Guide_(Hitchhiker's_Guide_to_the_Galaxy__#1-5),Douglas_Adams,4.38,eng,815.0,1/17/1996,Wings_Books;;;
21,A_Short_History_of_Nearly_Everything,Bill_Bryson,4.21,eng,544.0,9/14/2004,Broadway_Books;;;
22,Bill_Bryson's_African_Diary,Bill_Bryson,3.44,eng,55.0,12/3/2002,Broadway_Books;;;
23,Bryson's_Dictionary_of_Troublesome_Words:_A_Writer's_Guide_to_Getting_It_Right,Bill_Bryson,3.87,eng,256.0,9/14/2004,Broadway_Books;;;
24,In_a_Sunburned_Country,Bill_Bryson,4.07,eng,335.0,5/15/2001,Broadway_Books;;;
25,I'm_a_Stranger_Here_Myself:_Notes_on_Returning_to_America_After_Twenty_Years_Away,Bill_Bryson,3.9,eng,304.0,6/28/2000,Broadway_Books;;;
26,The_Lost_Continent:_Travels_in_Small_Town_America,Bill_Bryson,3.83,eng,299.0,8/28/1990,William_Morrow_Paperbacks;;;
27,Neither_Here_nor_There:_Travels_in_Europe,Bill_Bryson,3.86,eng,254.0,3/28/1993,William_Morrow_Paperbacks;;;
28,Notes_from_a_Small_Island,Bill_Bryson,3.91,eng,324.0,5/28/1997,William_Morrow_Paperbacks;;;
29,The_Mother_Tongue:_English_and_How_It_Got_That_Way,Bill_Bryson,3.93,eng,270.0,9/28/1991,William_Morrow_Paperbacks;;;
30,J.R.R._Tolkien_4-Book_Boxed_Set:_The_Hobbit_and_The_Lord_of_the_Rings,J.R.R._Tolkien,4.59,eng,1728.0,9/25/2012,Ballantine_Books;;;
31,The_Lord_of_the_Rings_(The_Lord_of_the_Rings__#1-3),J.R.R._Tolkien,4.5,eng,1184.0,10/21/2004,Houghton_Mifflin_Harcourt;;;
34,The_Fellowship_of_the_Ring_(The_Lord_of_the_Rings__#1),J.R.R._Tolkien,4.36,eng,398.0,9/5/2003,Houghton_Mifflin_Harcourt;;;
35,The_Lord_of_the_Rings_(The_Lord_of_the_Rings__#1-3),J.R.R._Tolkien/Alan__Lee,4.5,en-US,1216.0,10/1/2002,Houghton_Mifflin_Harcourt;;;
36,The_Lord_of_the_Rings:_Weapons_and_Warfare,Chris___Smith/Christopher__Lee/Richard_Taylor,4.53,eng,218.0,11/5/2003,Houghton_Mifflin_Harcourt;;;
37,The_Lord_of_the_Rings:_Complete_Visual_Companion,Jude_Fisher,4.5,eng,224.0,11/15/2004,Houghton_Mifflin_Harcourt;;;
45,Agile_Web_Development_with_Rails:_A_Pragmatic_Guide,Dave_Thomas/David_Heinemeier_Hansson/Leon_Breedt/Mike_Clark/Thomas__Fuchs/Andreas__Schwarz,3.84,eng,558.0,7/28/2005,Pragmatic_Bookshelf;;;
50,Hatchet_(Brian's_Saga__#1),Gary_Paulsen,3.72,eng,208.0,4/1/2000,Atheneum_Books_for_Young_Readers:_Richard_Jackson_Books;;;
53,Guts:_The_True_Stories_behind_Hatchet_and_the_Brian_Books,Gary_Paulsen,3.88,eng,144.0,1/23/2001,Delacorte_Press;;;
54,Molly_Hatchet_-_5_of_the_Best,Molly_Hatchet,4.33,eng,56.0,6/10/2003,Cherry_Lane_Music_Company;;;
